,Name,Location,Time,Link
0,Adult Care Home Community Advisory Committee,JR Kernodle Senior Center,2:00 p.m. the third Tuesday of each quarter,https://www.alamance-nc.com/boardscommittees/boards-and-committees/human-services/adult-care-home-community-advisory-committee/
26,Agricultural Advisory Board,Agricultural Building Auditorium,12:00 p.m. the first Wednesday of each quarter,https://www.alamance-nc.com/boardscommittees/boards-and-committees/other-boards-and-committees/agricultural-advisory-board/
27,Alamance Beautiful Commission,Agricultural Extension Center,12:15 p.m. the fourth Tuesday except July and December,https://www.alamance-nc.com/boardscommittees/boards-and-committees/other-boards-and-committees/alamance-beautiful-commission/
28,Alamance Community College Board of Trustees,"Alamance Community College, Wallace Gee Bldg.",6:00 p.m. the second Monday of the month except July & Dec.,https://www.alamance-nc.com/boardscommittees/boards-and-committees/other-boards-and-committees/alamance-community-college-board-of-trustees/
11,Alamance County Board of Adjustment,Commissioners’ Room,7:00 p.m. the first Monday of the month when required,https://www.alamance-nc.com/boardscommittees/boards-and-committees/planning-and-taxation/alamance-county-board-of-adjustment/
12,Alamance County Planning Board,,,https://www.alamance-nc.com/boardscommittees/boards-and-committees/planning-and-taxation/alamance-county-planning-board/
1,Alamance County Senior Services Committee,J. R. Kernodle Senior Center,8:30 a.m. the second Tuesday of each month,https://www.alamance-nc.com/boardscommittees/boards-and-committees/human-services/senior-services-committee/
29,Alamance County Transportation Authority,ACTA Office,4:00 p.m. the third Wednesday of each month,https://www.alamance-nc.com/boardscommittees/boards-and-committees/other-boards-and-committees/alamance-county-transportation-authority/
6,Animal Review Board,,As called,https://www.alamance-nc.com/boardscommittees/boards-and-committees/public-safety/animal-review-board/
13,Board of Equalization and Review,Commissioners’ Meeting Room,As called,https://www.alamance-nc.com/boardscommittees/boards-and-committees/planning-and-taxation/board-of-equalization-and-review/
2,Board of Health,,,https://www.alamance-nc.com/boardscommittees/boards-and-committees/human-services/board-of-health/
14,Burlington Board of Adjustment,Burlington City Council Chambers,8:30 a.m. the second Tuesday of each month,https://www.alamance-nc.com/boardscommittees/boards-and-committees/planning-and-taxation/burlington-board-of-adjustment/
15,Burlington Planning and Zoning Commission,"Burlington Municipal Building, Room 202",7:00 p.m. the fourth Monday of each month,https://www.alamance-nc.com/boardscommittees/boards-and-committees/planning-and-taxation/burlington-planning-and-zoning-commission/
30,Burlington-Alamance Airport Authority,Airport Terminal Building,12:00 p.m. the third Wednesday of each month,https://www.alamance-nc.com/boardscommittees/boards-and-committees/other-boards-and-committees/burlington-alamance-airport-authority/
16,Elon Planning and Zoning Commission,Elon Town Hall,7:00 p.m. the third Tuesday of each month,https://www.alamance-nc.com/boardscommittees/boards-and-committees/planning-and-taxation/elon-planning-and-zoning-commission/
17,Gibsonville Board of Adjustment,Gibsonville Town Hall,7:00 p.m. as called,https://www.alamance-nc.com/boardscommittees/boards-and-committees/planning-and-taxation/gibsonville-board-of-adjustment/
18,Gibsonville Planning Board,Gibsonville Town Hall,7:00 p.m. the third Thursday of each month,https://www.alamance-nc.com/boardscommittees/boards-and-committees/planning-and-taxation/gibsonville-planning-board/
19,Graham Board of Adjustment,,As called,https://www.alamance-nc.com/boardscommittees/boards-and-committees/planning-and-taxation/graham-board-of-adjustment/
20,Graham Planning Board,Council Chambers of Graham Municipal Building,Third Tuesday of each month,https://www.alamance-nc.com/boardscommittees/boards-and-committees/planning-and-taxation/graham-planning-board/
21,Haw River Planning and Zoning Commission,Haw River Municipal Building,7:00 p.m. the first Tuesday of each month,https://www.alamance-nc.com/boardscommittees/boards-and-committees/planning-and-taxation/haw-river-planning-and-zoning-commission/
22,Historic Properties Commission,,,https://www.alamance-nc.com/boardscommittees/boards-and-committees/planning-and-taxation/historic-properties-commission/
7,Jury Commission,,September and October as needed,https://www.alamance-nc.com/boardscommittees/boards-and-committees/public-safety/jury-commission/
8,Justice Advisory Council,,,https://www.alamance-nc.com/boardscommittees/boards-and-committees/public-safety/justice-advisory-council/
9,Juvenile Crime Prevention Council,,,https://www.alamance-nc.com/boardscommittees/boards-and-committees/public-safety/juvenile-crime-prevention-council/
31,Library Committee,One of the four libraries,Alternates meeting times between 12:30 p.m. and 6:30pm four times a year,https://www.alamance-nc.com/boardscommittees/boards-and-committees/other-boards-and-committees/library-committee/
10,Local Emergency Planning Committee (LEPC) for Hazardous Chemicals,,,https://www.alamance-nc.com/boardscommittees/boards-and-committees/public-safety/local-emergency-planning-committee-lepc-for-hazardous-chemicals/
23,Mebane Board of Adjustment,"Mebane Municipal Building, City Council Chambers",6:00 p.m. the first Monday of each month,https://www.alamance-nc.com/boardscommittees/boards-and-committees/planning-and-taxation/mebane-board-of-adjustment/
24,Mebane Planning Board,"Mebane Municipal Building, City Council Chambers",6:30 p.m. the second Monday of each month,https://www.alamance-nc.com/boardscommittees/boards-and-committees/planning-and-taxation/mebane-planning-board/
3,Nursing Home Community Advisory Committee,J.R. Kernodle Senior Center,9:30 a.m. the first Thursday of each quarter,https://www.alamance-nc.com/boardscommittees/boards-and-committees/human-services/nursing-home-community-advisory-committee/
32,Public Transit Advisory Commission (PTAC),,,https://www.alamance-nc.com/boardscommittees/boards-and-committees/other-boards-and-committees/public-transit-advisory-commission-ptac/
33,Recreation and Parks Commission,,,https://www.alamance-nc.com/boardscommittees/boards-and-committees/other-boards-and-committees/recreation-and-parks-commission/
4,Social Services Board,,,https://www.alamance-nc.com/boardscommittees/boards-and-committees/human-services/social-services-board/
34,Tourism Development Authority,Chamber of Commerce/Visitor Bureau,10:30 a.m. on the fourth Tuesday of every month.  Changes will be posted at https://www.visitalamance.com/about/tourism-development-authority/,https://www.alamance-nc.com/boardscommittees/boards-and-committees/other-boards-and-committees/tourism-development-authority/
35,Veterans Service Committee,Veterans Service Office,As called,https://www.alamance-nc.com/boardscommittees/boards-and-committees/other-boards-and-committees/veterans-service-committee/
25,Village of Alamance Planning Board,Village of Alamance Town Hall,As called,https://www.alamance-nc.com/boardscommittees/boards-and-committees/planning-and-taxation/village-of-alamance-planning-board/
5,Workforce Development Board,"Rotate at Alamance, Orange, or Randolph County",11:00 a.m. the 3rd Thursday in the 1st month of each quarter,https://www.alamance-nc.com/boardscommittees/boards-and-committees/human-services/workforce-development-board/
